id_film;url;type_film;multilingues;nationalite;titre;genre;duree;reprise;couleur;note_presse;note_spectateurs;age_acteur;date
918;http://www.allocine.fr/film/fichefilm_gen_cfilm=918.html;Long-métrage;FALSE;italien;Le Doulos;Policier;108;FALSE;N&B;;3,6;82;13/05/2015
920;http://www.allocine.fr/film/fichefilm_gen_cfilm=920.html;Long-métrage;FALSE;français;Femmes, femmes;Comédie dramatique;115;TRUE;N&B;;3,2;81;02/02/2010
921;http://www.allocine.fr/film/fichefilm_gen_cfilm=921.html;Long-métrage;FALSE;français;Corps à coeur;Comédie dramatique;126;TRUE;Couleur;;3,4;82;06/02/2005
962;http://www.allocine.fr/film/fichefilm_gen_cfilm=962.html;Long-métrage;FALSE;italien;L'Innocent;Drame;125;TRUE;Couleur;4;3,9;61;26/03/2008
1046;http://www.allocine.fr/film/fichefilm_gen_cfilm=1046.html;Long-métrage;FALSE;français;Amoureuse;Comédie dramatique;100;FALSE;Couleur;;2,5;20;19/02/1992
1050;http://www.allocine.fr/film/fichefilm_gen_cfilm=1050.html;Long-métrage;FALSE;français;La Guerre sans nom;Documentaire;235;FALSE;Couleur;;2,9;41,05145448;19/02/1992
1054;http://www.allocine.fr/film/fichefilm_gen_cfilm=1054.html;Long-métrage;FALSE;français;Betty;Drame;103;FALSE;Couleur;;3,2;30;19/02/1992
1055;http://www.allocine.fr/film/fichefilm_gen_cfilm=1055.html;Long-métrage;FALSE;autrichien;Comedian Harmonists;Comédie dramatique;114;FALSE;Couleur;3;3,5;36;09/06/1999
1103;http://www.allocine.fr/film/fichefilm_gen_cfilm=1103.html;Long-métrage;FALSE;français;Casque d'or;Comédie dramatique;96;TRUE;N&B;;3,6;80;04/04/2001
1155;http://www.allocine.fr/film/fichefilm_gen_cfilm=1155.html;Long-métrage;TRUE;espagnol;Go for Gold !;Comédie dramatique;100;FALSE;Couleur;;;31;04/02/1998
1213;http://www.allocine.fr/film/fichefilm_gen_cfilm=1213.html;Long-métrage;TRUE;français;Sans Soleil;Documentaire;104;FALSE;Couleur et N&B;;3,9;41,05145448;23/10/2013
1244;http://www.allocine.fr/film/fichefilm_gen_cfilm=1244.html;Long-métrage;FALSE;espagnol;Viridiana;Drame;90;TRUE;N&B;;3,9;69;05/06/2000
1294;http://www.allocine.fr/film/fichefilm_gen_cfilm=1294.html;Long-métrage;FALSE;français;Rosa la rose, fille publique;Drame;92;TRUE;Couleur;;3,2;70;06/07/2005
1317;http://www.allocine.fr/film/fichefilm_gen_cfilm=1317.html;Long-métrage;FALSE;français;Vivre !;Comédie dramatique;103;FALSE;Couleur;1,9;3,3;27;07/10/2009
1324;http://www.allocine.fr/film/fichefilm_gen_cfilm=1324.html;Long-métrage;FALSE;suédois;Mademoiselle Julie;Drame;;TRUE;N&B;;3,4;91;10/09/2014
1325;http://www.allocine.fr/film/fichefilm_gen_cfilm=1325.html;Long-métrage;FALSE;français;Les Rivières pourpres;Thriller;105;FALSE;Couleur;3,1;3,2;52;27/09/2000
1333;http://www.allocine.fr/film/fichefilm_gen_cfilm=1333.html;Long-métrage;FALSE;italien;Le Fanfaron;Comédie dramatique;105;TRUE;N&B;;4,1;81;03/06/2004
1372;http://www.allocine.fr/film/fichefilm_gen_cfilm=1372.html;Long-métrage;FALSE;italien;La Grande bouffe;Comédie dramatique;125;TRUE;Couleur;5;3,4;75;02/06/2000
1380;http://www.allocine.fr/film/fichefilm_gen_cfilm=1380.html;Long-métrage;TRUE;français;Le Grand embouteillage;Comédie;113;FALSE;Couleur;;3,4;83;24/06/2015
1383;http://www.allocine.fr/film/fichefilm_gen_cfilm=1383.html;Long-métrage;FALSE;français;Nord;Drame;98;FALSE;Couleur;;3,2;25;19/02/1992
1387;http://www.allocine.fr/film/fichefilm_gen_cfilm=1387.html;Long-métrage;FALSE;russe;Ô vous mes oies !;Drame;88;FALSE;Couleur;;;41,05145448;30/01/2002
1414;http://www.allocine.fr/film/fichefilm_gen_cfilm=1414.html;Long-métrage;TRUE;russe;Solaris;Fantastique;165;TRUE;Couleur et N&B;;3,3;41,05145448;26/07/2002
1417;http://www.allocine.fr/film/fichefilm_gen_cfilm=1417.html;Long-métrage;TRUE;français;JFK;Drame;189;FALSE;Couleur et N&B;3,8;4;37;29/01/1992
1445;http://www.allocine.fr/film/fichefilm_gen_cfilm=1445.html;Long-métrage;TRUE;slovaque;Rêves en rose;Comédie dramatique;81;TRUE;Couleur;3,9;3,3;41,05145448;21/11/2012
1446;http://www.allocine.fr/film/fichefilm_gen_cfilm=1446.html;Long-métrage;FALSE;italien;Le Cri;Drame;116;TRUE;N&B;4,1;3,7;90;21/03/2007
